episode,steps,total_reward,epsilon,goal_reached,collision
169,217,-460.1242,0.1848,False,True
170,221,-441.4122,0.18296,False,True
171,1000,213.4694,0.18113,False,False
172,342,-464.5073,0.17932,False,True
173,823,742.9693,0.17752,True,False
174,506,-384.1409,0.17575,False,True
175,217,-432.9612,0.17399,False,True
176,394,-407.6341,0.17225,False,True
177,454,-384.6111,0.17053,False,True
178,416,-410.4148,0.16882,False,True
179,257,-500.6146,0.16713,False,True
180,1000,219.4533,0.16546,False,False
181,209,-451.1785,0.16381,False,True
182,235,-445.2932,0.16217,False,True
183,438,-372.5607,0.16055,False,True
184,586,-432.2967,0.15894,False,True
185,289,-438.0729,0.15735,False,True
186,235,-454.2487,0.15578,False,True
187,425,-418.9172,0.15422,False,True
188,188,-449.5086,0.15268,False,True
189,1000,210.7084,0.15115,False,False
190,212,-456.6048,0.14964,False,True
191,793,734.1556,0.14814,True,False
192,359,-468.0334,0.14666,False,True
193,242,-468.004,0.1452,False,True
194,422,-396.4855,0.14374,False,True
195,220,-441.0775,0.14231,False,True
196,1000,207.4901,0.14088,False,False
197,1000,202.6272,0.13948,False,False
198,881,737.6142,0.13808,True,False
199,193,-444.6128,0.1367,False,True
200,423,-383.7264,0.13533,False,True
201,500,-390.2329,0.13398,False,True
202,787,747.6913,0.13264,True,False
203,482,-348.9151,0.13131,False,True
204,287,-445.028,0.13,False,True
205,210,-445.7807,0.1287,False,True
206,446,-406.1352,0.12741,False,True
207,499,-404.707,0.12614,False,True
208,554,-408.8943,0.12488,False,True
209,1000,198.8298,0.12363,False,False
210,381,-386.7995,0.12239,False,True
211,879,-380.953,0.12117,False,True
212,231,-449.6741,0.11996,False,True
213,578,-377.7595,0.11876,False,True
214,548,-350.404,0.11757,False,True
215,187,-446.0325,0.11639,False,True
216,443,-368.2815,0.11523,False,True
217,783,747.519,0.11408,True,False
218,391,-340.6235,0.11294,False,True
219,192,-453.5227,0.11181,False,True
220,370,-371.0573,0.11069,False,True
221,833,743.1596,0.10958,True,False
222,690,755.7815,0.10849,True,False
